cate,topic,entity_count,entity_rate
1,2,3,0.6
1,4,2,0.0689655
1,2,0,0
1,4,4,0.222222
1,5,0,0
1,2,2,0.333333
1,2,3,0.166667
1,3,3,0.5
1,5,0,0
1,4,0,0
1,8,5,0.555556
1,2,2,0.666667
1,2,0,0
1,2,3,0.428571
1,1,0,0
1,2,5,0.263158
1,0,1,0.0384615
1,2,1,0.2
1,4,3,0.375
1,5,3,1.5
1,7,0,0
1,2,3,0.333333
1,4,0,0
1,1,1,0.2
1,5,1,0.0357143
1,2,1,0.2
1,2,2,0.166667
1,2,0,0
1,2,2,0.2
1,2,2,0.285714
1,0,5,0.357143
1,2,3,0.75
1,2,2,0.285714
1,4,1,0.2
1,4,3,0.157895
1,2,2,0.285714
1,4,1,0.5
1,2,2,0.5
1,0,3,0.333333
1,2,3,0.3
1,4,4,0.4
1,0,2,0.222222
1,4,8,0.380952
1,2,3,0.333333
1,2,2,0.25
1,2,4,0.5
1,5,1,0.142857
1,5,1,0.25
1,4,0,0
1,4,0,0
1,1,1,0.166667
1,5,2,1
1,2,0,0
1,4,2,0.333333
1,2,3,0.272727
1,4,1,0.0714286
1,2,0,0
1,1,0,0
1,0,4,0.5
1,2,2,0.285714
1,5,2,1
1,7,0,0
1,2,2,0.222222
1,4,5,0.238095
1,6,2,0.5
1,4,1,0.166667
1,4,2,0.2
1,1,1,0.166667
1,2,4,0.571429
1,4,1,0.25
1,3,0,0
1,4,2,0.333333
1,4,0,0
1,2,3,0.333333
1,2,0,0
1,3,0,0
1,4,7,0.333333
1,0,3,0.15
1,2,1,0.2
1,2,3,0.25
1,4,5,0.416667
1,2,2,0.125
1,2,1,0.25
1,5,1,0.5
1,3,6,0.6
1,2,3,0.230769
1,2,2,0.5
1,2,4,0.266667
1,0,2,0.285714
1,2,9,0.45
1,4,1,0.125
1,4,2,0.333333
1,1,0,0
1,5,2,1
1,3,3,0.3
1,5,1,0.25
1,0,4,0.444444
1,4,3,0.272727
1,2,0,0
1,4,6,0.4
1,5,0,0
1,4,3,0.115385
1,2,0,0
1,0,3,0.333333
1,4,0,0
1,2,2,0.666667
1,8,8,0.8
1,0,1,0.2
1,0,12,0.5
1,5,4,0.8
1,8,5,0.625
1,4,2,0.181818
1,5,2,0.5
1,4,0,0
1,0,2,0.25
1,4,3,0.6
1,2,3,0.230769
1,1,4,0.5
1,8,5,1
1,2,2,0.285714
1,2,4,0.363636
1,2,2,0.5
1,4,1,0.333333
1,2,0,0
1,2,4,0.571429
1,4,0,0
1,4,2,0.111111
1,7,1,1
1,4,3,0.5
1,2,3,0.428571
1,4,0,0
1,2,0,0
1,3,1,0.166667
1,4,1,0.25
1,3,0,0
1,3,3,0.3
1,4,1,0.0833333
1,4,0,0
1,2,1,0.25
1,6,2,0.166667
1,2,2,0.285714
0,5,0,0
0,4,2,0.4
0,5,0,0
0,1,0,0
0,4,0,0
0,4,0,0
0,4,2,0.4
0,4,1,0.0833333
0,5,1,0.25
0,2,1,0.125
0,4,4,0.2
0,5,1,0.25
0,5,0,0
0,4,1,0.166667
0,4,2,0.333333
0,4,1,0.142857
0,4,1,0.0909091
0,4,0,0
0,7,2,0.666667
0,4,2,0.125
0,5,0,0
0,4,0,0
0,5,0,0
0,4,1,0.1
0,4,1,0.0909091
0,1,1,0.125
0,4,1,0.166667
0,1,2,0.105263
0,4,1,0.0909091
0,4,1,0.142857
0,4,0,0
0,4,1,0.1
0,5,1,0.5
0,5,0,0
0,4,4,0.444444
0,5,2,0.333333
0,4,1,0.333333
0,3,0,0
0,4,0,0
0,4,0,0
0,5,0,0
0,4,4,0.444444
0,4,2,0.166667
0,5,1,0.5
0,4,0,0
0,5,1,0.5
0,5,0,0
0,4,2,0.105263
0,4,0,0
0,4,2,0.105263
0,5,0,0
0,2,1,0.333333
0,4,2,0.125
0,4,0,0
0,5,0,0
0,4,2,0.285714
0,4,2,0.181818
0,4,0,0
0,1,4,0.4
0,4,2,0.5
0,5,1,0.5
0,4,1,0.2
0,4,6,0.315789
0,5,0,0
0,4,3,0.3
0,4,0,0
0,4,2,0.2
0,4,3,0.142857
0,5,1,0.2
0,5,0,0
0,4,2,0.25
0,4,0,0
0,4,0,0
0,4,0,0
0,5,0,0
0,4,3,0.214286
0,4,3,0.15
0,5,0,0
0,4,0,0
0,5,0,0
0,4,3,0.5
0,4,0,0
0,5,2,0.5
0,4,1,0.125
0,4,0,0
0,4,2,0.153846
0,4,4,0.222222
0,3,0,0
0,4,0,0
0,4,2,0.285714
